"ITTER107"	"Territorio"	"TIPO_DATO_ISTR"	"Tipo dato"	"SEXISTAT1"	"Sesso"	"CITTADINANZA"	"Cittadinanza"	"ORDINESCOL2"	"Ordine scolastico"	"NATGIUR1"	"Gestione della scuola"	"TIPO_SCUOLA2"	"Tipo di scuola superiore"	"TIME"	"Seleziona anno (anno t= anno sc. t-1 / t)"	"Value"	"Flag Codes"	"Flags"
"ITC4"	"Lombardia"	"SCHO"	"scuole"	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"SUR"	"istituto tecnico per geometri"	"2018"	"2018"	12		
"ITF3"	"Campania"	"SCHO"	"scuole"	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"ALL"	"totale"	"2018"	"2018"	286		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"IND"	"istituto professionale per l'industria e l'artigianato"	"2018"	"2018"	39783		
"ITF2"	"Molise"	"SCHO"	"scuole"	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"HOT"	"istituto professionale per i servizi alberghieri e ristorazione"	"2018"	"2018"	3		
"ITE3"	"Marche"	"REPT"	"ripetenti "	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"STA"	"statale"	"TECH"	"altri istituti tecnici"	"2018"	"2018"	204		
"ITE2"	"Umbria"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"COM"	"istituto professionale per i servizi commerciali"	"2018"	"2018"	642		
"ITF2"	"Molise"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"UPP"	"secondaria II grado"	"STA"	"statale"	"COMM"	"istituto tecnico commerciale"	"2018"	"2018"	814		
"ITC"	"Nord-ovest"	"SCHO"	"scuole"	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"ALL"	"totale"	"2018"	"2018"	1564		
"ITD4"	"Friuli-Venezia Giulia"	"REPT"	"ripetenti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"TECH"	"altri istituti tecnici"	"2018"	"2018"	99		
"ITE2"	"Umbria"	"REPT"	"ripetenti "	"M"	"maschi"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"SCI"	"liceo scientifico"	"2018"	"2018"	104		
"ITD1"	"Provincia Autonoma Bolzano / Bozen"	"ENR"	"iscritti "	"M"	"maschi"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"COM"	"istituto professionale per i servizi commerciali"	"2018"	"2018"	296		
"ITF1"	"Abruzzo"	"REPT"	"ripetenti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"VOC_OTH"	"altri istituti professionali"	"2018"	"2018"	15		
"ITF1"	"Abruzzo"	"ENR"	"iscritti "	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"HOT"	"istituto professionale per i servizi alberghieri e ristorazione"	"2018"	"2018"	2212		
"ITD"	"Nord-est"	"ENR"	"iscritti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"VOC_OTH"	"altri istituti professionali"	"2018"	"2018"	6740		
"ITE4"	"Lazio"	"ENR"	"iscritti "	"F"	"femmine"	"FRG"	"straniero-a"	"UPP"	"secondaria II grado"	"STA"	"statale"	"COM"	"istituto professionale per i servizi commerciali"	"2018"	"2018"	736		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"FRG"	"straniero-a"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"COMM"	"istituto tecnico commerciale"	"2018"	"2018"	11		
"ITF3"	"Campania"	"CLAS"	"classi"	"T"	"totale"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PUB"	"pubblica"	"IND"	"istituto professionale per l'industria e l'artigianato"	"2018"	"2018"	910		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"UPP"	"secondaria II grado"	"STA"	"statale"	"SUR"	"istituto tecnico per geometri"	"2018"	"2018"	1494		
"ITF1"	"Abruzzo"	"ENR"	"iscritti "	"T"	"totale"	"FRG"	"straniero-a"	"UPP"	"secondaria II grado"	"STA"	"statale"	"COM"	"istituto professionale per i servizi commerciali"	"2018"	"2018"	190		
"ITD3"	"Veneto"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"HOT"	"istituto professionale per i servizi alberghieri e ristorazione"	"2018"	"2018"	24		
"ITD3"	"Veneto"	"REPT"	"ripetenti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"PRI"	"privata"	"LIN"	"liceo linguistico"	"2018"	"2018"	44		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"TOTAL"	"totale"	"UPP"	"secondaria II grado"	"ALL"	"totale"	"IND"	"istituto professionale per l'industria e l'artigianato"	"2018"	"2018"	7121		
